,Unnamed: 0,COW,Old Coup ID#,New Coup ID#,country,month,day,year,coup_id,event,Milan Description,realized,Unrealized,Removed/ Targeted Name,Removed Title/ Position,Initiator/ Suspected,Ascended Name/ Suspected,Ascended/ Suspected Title/ Position,Event Summary,iso2,continent,datetime,date
424,425,90.0,9052593,9005251993.0,Guatemala,5,25,1993,,attempted coup,0,No,1.0,Jorge Serrano,president,Pres. Jorge Serrano,.,.,"President Serrano attempted a ""self-coup"" or subversion of democracy. Strong public protest combined with military support for a supreme court ruling against the subversion of democracy led Serrano's legal removal and replacement with an interim president.",GT,NA,1993-05-01,1993-5
425,426,438.0,43811.1961,43811001961.0,Guinea,11,0,1961,,conspiracy coup,0,No,1.0,Ahmed Sekou Toure,president,communists and students,.,.,A communist plot to use student rioting to overthrow the government was only partially implamented.,GN,AF,1961-11-01,1961-11
426,427,438.0,43811965,43811091965.0,Guinea,11,9,1965,,conspiracy coup,0,No,1.0,Ahmed Sekou Toure,president,unspecified,.,.,Several unspecified plotters were arrested for their conspiracy to overthrow the government.,GN,AF,1965-11-01,1965-11
427,428,438.0,43821668,43802161968.0,Guinea,2,16,1968,,conspiracy coup,0,No,1.0,Ahmed Sekou Toure,president,National Liberation Front,.,.,The National Liberation Front conspired to overthrow Toure.,GN,AF,1968-02-01,1968-2
428,429,438.0,43831069,43803101969.0,Guinea,3,10,1969,,conspiracy coup,0,No,1.0,Ahmed Sekou Toure,president,M. Foderba Keita and Col. Kaman Diaby,.,.,A civilian and military officers were among those conspiring to overthrow the Toure regime.,GN,AF,1969-03-01,1969-3
429,430,438.0,438112270,43811221970.0,Guinea,11,22,1970,,attempted coup,0,No,1.0,Ahmed Sekou Toure,president,Guinean exiles in GNB,.,.,Political exiles living in Guinea-Bissau attempted a coup against Toure.,GN,AF,1970-11-01,1970-11
430,431,438.0,43811084,43801101984.0,Guinea,1,10,1984,,conspiracy coup,0,No,1.0,Ahmed Sekou Toure,president,"incl. M. Fedeba Keita, Col. Kaman Diaby",.,.,Several attempted a coup against Toure.,GN,AF,1984-01-01,1984-1
431,432,438.0,4384384,43804031984.0,Guinea,4,3,1984,,coup,Coup,Yes,0.0,Louis Lansana,acting president,incl. Col. Lansana Conte,Lansana Conte,Military Committee of National Restoration chairman,Col. Lansana Conte overthrew acting president Louis Lansana fearing that the gross abuses of the Toure regime would continue. He sat himself at the head of a military junta briefly before ruling alone.,GN,AF,1984-04-01,1984-4
432,433,438.0,4387485,43807041985.0,Guinea,7,4,1985,,attempted coup,0,No,1.0,Lansana Conte,military president,Col. Traore,.,.,Rivals to the Conte attempted to overthrow his regime. Loyalist forces ended the attempt.,GN,AF,1985-07-01,1985-7
433,434,438.0,4382296,43802021996.0,Guinea,2,2,1996,,attempted coup,0,No,1.0,Lansana Conte,military president,rogue members of the armed forces,.,.,Soldiers concerned over their pay attacked the presidential palace and attempted to unseat Conte. Their coup was violently put down.,GN,AF,1996-02-01,1996-2
434,435,438.0,43831797,43803171997.0,Guinea,3,17,1997,,conspiracy coup,0,No,1.0,Lansana Conte,president,unspecified,.,.,A coup was plotted by unspecified individuals.,GN,AF,1997-03-01,1997-3
435,436,438.0,43811.2003,43811002003.0,Guinea,11,0,2003,,conspiracy coup,0,No,1.0,Lansana Conte,president,unspecified,.,.,A coup was plotted by unspecified individuals.,GN,AF,2003-11-01,2003-11
436,437,404.0,40433075,40403301975.0,Guinea-Bissau,3,30,1975,,conspiracy coup,0,No,1.0,Louis Cabral,Chairman of the Council of State,unspecified,.,.,Unspecified individuals conspired to overthrow Cabral.,GW,AF,1975-03-01,1975-3
437,438,404.0,40411.1978,40411001978.0,Guinea-Bissau,11,0,1978,,attempted coup,0,No,1.0,Louis Cabral,Chairman of the Council of State,Malam Sanha,.,.,Malam Sanha attempted to overthrow Cabral without success.,GW,AF,1978-11-01,1978-11
438,439,404.0,404111480,40411141980.0,Guinea-Bissau,11,14,1980,,coup,Coup,Yes,0.0,Louis Cabral,Chairman of the Council of State,Maj. Joao Bernardo Vieira,Joao Bernado Vieira,Chairman of the Council of the Revolution,Allegations of ethnic domination and repression in the highest level of government was cited as the reason for Viera's coup. He established himself at the head of a junta.,GW,AF,1980-11-01,1980-11
439,440,404.0,4047.1982,40407001982.0,Guinea-Bissau,7,0,1982,,conspiracy coup,0,No,1.0,Joao Bernardo Viera,Chairman of the Council of the Revolution,"Joao Da Costa, Maj. Leopoldo Alfama, Honorio Fonseca",.,.,officers and civilians plotted a coup against Vieira.,GW,AF,1982-07-01,1982-7
440,441,404.0,40431084,40403101984.0,Guinea-Bissau,3,10,1984,,conspiracy coup,0,No,1.0,Joao Bernardo Viera,Chairman of the Council of the Revolution,Prime Minister Vito Saude Maria and others,.,.,The prime minister plotted to overthrow Vieira.,GW,AF,1984-03-01,1984-3
441,442,404.0,40411785,40411071985.0,Guinea-Bissau,11,7,1985,,conspiracy coup,0,No,1.0,Joao Bernardo Viera,Chairman of the Council of State,incl. Col. Paulo Correira (1st VP),.,.,Several people including the Vice President plotted to overthrow Vieira.,GW,AF,1985-11-01,1985-11
442,443,404.0,4043.1993,40403001993.0,Guinea-Bissau,3,0,1993,,conspiracy coup,0,No,1.0,Joao Bernardo Viera,Chairman of the Council of State,unspecified,.,.,Vieira's rule faced a conspiracy from unidentified plotters.,GW,AF,1993-03-01,1993-3
443,444,404.0,4046798,40406071998.0,Guinea-Bissau,6,7,1998,,attempted coup,0,No,1.0,Joao Bernardo Viera,president,Gen. Ansumane Mane,.,.,"After he was dismissed, General Mane launched a military rebellion aimed at overthrowing the government. The initial attempt failed but started a civil war.",GW,AF,1998-06-01,1998-6
444,445,404.0,4045799,40405071999.0,Guinea-Bissau,5,7,1999,,coup,Civil War,Yes,0.0,Joao Bernardo Viera,president,Gen. Mane,Ansumane Mane,Chairman of the supreme command of the military junta,Rebel forces led by General Mane eventually overthrew Vieira in the civil war. Mane took control as the chairman of a junta.,GW,AF,1999-05-01,1999-5
445,446,404.0,40411.2,40411002000.0,Guinea-Bissau,11,0,2000,,attempted coup,0,No,1.0,Kumba Iala,president,Gen. Mane,.,.,General Mane had significant policy conflicts with president Iala and he launched a coup attempt which failed and forced him to flee.,GW,AF,2000-11-01,2000-11
446,447,404.0,40412201,40412022001.0,Guinea-Bissau,12,2,2001,,conspiracy coup,0,No,1.0,Kumba Iala,president,"incl. Almane Alam Camara, Lamine Sanha",.,.,Several individuals conspired against President Iala.,GW,AF,2001-12-01,2001-12
447,448,404.0,40491403,40409142003.0,Guinea-Bissau,9,14,2003,,coup,Coup,Yes,0.0,Kumba Iala,president,Gen. Verissimo Correira Seabre,Verissimo Correira Seabre,Military Committee for the Restoration of Constitutional and Democratic Order,"When Iala moved to stall elections and failed to pay certain army factions, General Seabre overthrew him and installed himself at the head of a junta.",GW,AF,2003-09-01,2003-9
448,449,404.0,40452505,40405252005.0,Guinea-Bissau,5,25,2005,,attempted coup,0,No,1.0,Henrique Rosa,acting president,former president and current presidential candidate Kumba Yalla,.,.,Kumba Yalla attempted to withdraw his presidential resignation and attempted to occupy the presidential palace with a group of armed men before retreating.,GW,AF,2005-05-01,2005-5
449,450,110.0,11010.1953,11010001953.0,Guyana,10,0,1953,,conspiracy coup,0,No,1.0,Sir Alfred William Lungley Savage,governor-general,communists,.,.,"students, teachers, and civil servents were arrested for conspiring to overthrow the government and working with communists.",GY,SA,1953-10-01,1953-10
450,451,110.0,1105.1963,11005001963.0,Guyana,5,0,1963,,conspiracy coup,0,No,1.0,Cheddi B Jagan,prime minister,opposition members of the government,.,.,Prime Minister Cheddi believed that members of the opposition party were plotting to use violence to unseat him.,GY,SA,1963-05-01,1963-5
451,452,110.0,110122483,11012241983.0,Guyana,12,24,1983,,conspiracy coup,0,No,1.0,Forbes Burnham,president,members of the Conservative Party of Guyana,.,.,Conservative party members plotted to overthrow the government.,GY,SA,1983-12-01,1983-12
452,453,41.0,4111146,4101111946.0,Haiti,1,11,1946,,coup,Revolt,Yes,0.0,Elie Lescot,president,"Col. Franck Lavaud, Maj. Paul Magliore",Franck Lavaud,chairman of the Military Executive Committee junta,Populist and ethnic-inspired violent strikes and mass demonstrations aimed at the Lescot regime and a military refusal to protect it forced Lescot and his administration to flee. Col. Lavaud administered executive power through his junta.,HT,NA,1946-01-01,1946-1
453,454,41.0,4151050,4105101950.0,Haiti,5,10,1950,,coup,Coup,Yes,0.0,Dumargais Estime,president,"Col. Franck Lavaud, Maj. Paul Magliore",Franck Lavaud,Chairman of Government junta,"The strength of his political opponents, open ethnic conflict, and an attempt to extend his term in office floundered the Estime regime. Col. Lavaud resumed his previous post at head of the usurper junta.",HT,NA,1950-05-01,1950-5
454,455,41.0,41121256,4112121956.0,Haiti,12,12,1956,,coup,0,Yes,0.0,Paul Magloire,president,popular uprising,Joseph Nemours Pierre-Louis,Provisional President,Strikes and demonstrations over hurricane relief and the duration of his rule forced Magliore to flee. The military decided not to enforce his rule and called for elections. Pierre-Louis was inaugurated a provisional basis.,HT,NA,1956-12-01,1956-12
455,456,41.0,412757,4102071957.0,Haiti,2,7,1957,,coup,Revolt,Yes,0.0,Joseph Nemours Pierre-Louis,Provisional President,popular uprising,Franck Sylvain,Provisional President,A general strike forced Pierre-Louis out of the provisional presidency. Sylvian replaced him.,HT,NA,1957-02-01,1957-2
456,457,41.0,414257,4104021957.0,Haiti,4,2,1957,,coup,Coup,Yes,0.0,Franck Sylvain,Provisional President,Gen. Leon Cantave,Leon Cantave,Government Executive Council junta chairman,Rioting and violence following an election Sylvain allegedly fixed forced the army to overthrow him. Leon Cantave beccame the junta chairman.,HT,NA,1957-04-01,1957-4
457,458,41.0,4152057,4105201957.0,Haiti,5,20,1957,,coup,0,Yes,0.0,Executive Council,Interim Executive Governing Body,Gen. Leon Cantave,Leon Cantave,military president,Gen. Leon Cantave and the military seized power from the executive body when protesters insisted it was trying to rig an upcoming election.,HT,NA,1957-05-01,1957-5
458,459,41.0,4152357,4105251957.0,Haiti,5,25,1957,,attempted coup,0,No,1.0,Leon Cantave,military president,Lt. Col. Pierre Armond,.,.,Pieree Armond and others attempted to seize power from Cantave igniting a very deadly but very brief civil war.,HT,NA,1957-05-01,1957-5
459,460,41.0,4152657,4105261957.0,Haiti,5,26,1957,,coup,civil war,Yes,0.0,Leon Cantave,military president,armed uprising,Daniel Fignole,Provisional President,"Facing an unslaught, violence forced Cantave to resign. A civilian provisional president replaced him.",HT,NA,1957-05-01,1957-5
460,461,41.0,4161457,4106141957.0,Haiti,6,14,1957,,coup,Coup,Yes,0.0,Daniel Fignole,Provisional President,Gen. Kebreau,Kebreau,Military Council junta chairman,"Fearing another communist take over, the Haitian military with US backing overthrew the populist Provisional President Fignole. Kebreau, a political rival in the military, seated himself at the head of the junta.",HT,NA,1957-06-01,1957-6
462,463,41.0,417.1958,4107001958.0,Haiti,7,0,1958,,attempted coup,0,No,1.0,Francois Duvalier,president,armed forces,.,.,Armed forces tried to overthrow Duvalier and failed.,HT,NA,1958-07-01,1958-7
463,464,41.0,4192059,4109201959.0,Haiti,9,20,1959,,conspiracy coup,0,No,1.0,Francois Duvalier,president,communists,.,.,Communists plotted to overthrow the Duvalier government.,HT,NA,1959-09-01,1959-9
464,465,41.0,414264,4106141964.0,Haiti,6,14,1964,,coup,auto-coup,Yes,0.0,Francois Duvalier,president,Francois Duvalier,Francois Duvalier,dictator/president for life,"Although Duvalier was frequently authoritarian, the final step of his rise to dictator was a self-coup granting himself unlimited authority and exempt from elections for life.",HT,NA,1964-06-01,1964-6
465,466,41.0,4152068,4105201968.0,Haiti,5,20,1968,,attempted coup,0,No,1.0,Francois Duvalier,dictator/president for life,invasion by exile group,.,.,"A group of exiles and others attempted to invade Haiti and overthrow Duvalier. The police, armed forces, and militias defeated the threat.",HT,NA,1968-05-01,1968-5
466,467,41.0,4142470,4104241970.0,Haiti,4,24,1970,,attempted coup,0,No,1.0,Francois Duvalier,dictator/president for life,"Col. Octave Cayard, Rameau Estime, Joseph Charles Clemard",.,.,A group of officers and civilians attempted to overthrow the Duvalier regime. Their efforts were unsuccessful.,HT,NA,1970-04-01,1970-4
467,468,41.0,416184,4106011984.0,Haiti,6,1,1984,,conspiracy coup,0,No,1.0,Jean-Claude Duvalier,dictator/president for life,Americans,.,.,A group of Americans were arrested in the United States who conspired to overthrow the Duvalier regime.,HT,NA,1984-06-01,1984-6
468,469,41.0,412786,4102071986.0,Haiti,2,7,1986,,coup,Revolt,Yes,0.0,Jean-Claude Duvalier,dictator/president for life,popular uprising,Henri Namphy,president,Duvalier fled the country after 3 months of protests and violent food riots. Namphy became president.,HT,NA,1986-02-01,1986-2
469,470,41.0,4161988,4106191988.0,Haiti,6,19,1988,,coup,Coup,Yes,0.0,Leslie Manigat,president,Gen. Henry Namphy,Henri Namphy,military president,A conflict over military authority led to Manigat's overthrow. Namphy resumed his military presidency in the aftermath.,HT,NA,1988-06-01,1988-6
470,471,41.0,4191788,4109171988.0,Haiti,9,17,1988,,coup,Coup,Yes,0.0,Henri Namphy,military president,Brig-Gen. Prosper Avril,Anvril,military president,Anvril overthrew his rival in the military (Namphy).,HT,NA,1988-09-01,1988-9
471,472,41.0,414289,4104021989.0,Haiti,4,2,1989,,attempted coup,0,No,1.0,Prosper Anvril,military president,"LTC Himmler Rebu, Leopold battalion",.,.,LTC Rebu and members of an elite battalion attempted to overthrow Anvril but failed.,HT,NA,1989-04-01,1989-4
472,473,41.0,414589,4104051989.0,Haiti,4,5,1989,,attempted coup,0,No,1.0,Prosper Anvril,military president,soldiers of Dessalines battalion,.,.,Soldiers of a second battalion attempted a coup just days after failed separate attempted. They also failed.,HT,NA,1989-04-01,1989-4
473,474,41.0,4131090,4103101990.0,Haiti,3,10,1990,,coup,Revolt,Yes,0.0,Prosper Anvril,military president,popular uprising,Herard Abraham,acting military president,A popular uprising against Avril's repression forced him to flee. Abraham became the acting military president.,HT,NA,1990-03-01,1990-3
474,475,41.0,411691,4101061991.0,Haiti,1,6,1991,,attempted coup,0,No,1.0,Ertha Pascal-Trouillot,acting military president,Roger Lafontant,.,.,Roger Lafontant and military elements tried to prevent Aristide from coming to power and launched a coup attempt. The attempt was put down by the military.,HT,NA,1991-01-01,1991-1
475,476,41.0,4193091,4109301991.0,Haiti,9,30,1991,,coup,Coup,Yes,0.0,Jean-Bertrand Aristide,president,Brig-Gen. Raoul Cedras and paramilitary forces,Cedras,military junta chairman,"Aristide's reforms made him unpopular and dangerous to certain sectors of society and they, allegedly with CIA money, overthrew him with military support. Cedras ruled as executive through the military junta but had puppet presidents.",HT,NA,1991-09-01,1991-9
476,477,41.0,41101494,4110141994.0,Haiti,10,14,1994,,coup,Foreign,Yes,0.0,Cedras,military junta chairman,US diplomatic and military pressure,Jean-Bertrand Aristide,president,US diplomatic and military intervention forced Cedras' junta to stand down and allow Aristide to resume his elected term.,HT,NA,1994-10-01,1994-10
477,478,41.0,41101600,4110162000.0,Haiti,10,16,2000,,attempted coup,0,No,1.0,Rene Preval,president,unspecifed,.,.,Unspecified forces attempted to oust President Preval.,HT,NA,2000-10-01,2000-10
478,479,41.0,413.2004,4103012004.0,Haiti,3,1,2004,,coup,0,Yes,0.0,Jean-Bertrand Aristide,president,National Revolutionary Front for the Liberation of Haiti and the United States,Boniface Alexandre,provisional president,The armed National Revolutionary Front for the Liberation of Haiti started a revolt against Aristide. When the violence became strong the United States helped to remove him from power. Alexandre was installed as a provisional president.,HT,NA,2004-03-01,2004-3
479,480,91.0,9112654,9112061954.0,Honduras,12,6,1954,,coup,Coup,Yes,0.0,Juan Manel Galvez,president,Vice President Julio Lonzano Diaz,Julio Lonzano Diaz,president,"While undergoing treatment for heart problems, Vice President Julio Lonzano Diaz ousted Juan Galvez from office and succeeded him.",HN,NA,1954-12-01,1954-12
480,481,91.0,91102156,9110211956.0,Honduras,10,21,1956,,coup,Coup,Yes,0.0,Julio Lonzano Diaz,supreme head of state,Gen. Roque Rodriguez,Roque Rodriguez,chairman of the military government council junta.,Congressional infighting led to a dissolution of the body and elevation of Diaz to dictator in the run up to the 1956 elections. Diaz won the election but the military annulled the results when they believed he rigged it.,HN,NA,1956-10-01,1956-10
481,482,91.0,917757,9107071957.0,Honduras,7,7,1957,,coup,Coup,Yes,0.0,Roque Rodriguez,chairman of the military government council junta.,military government council junta,Oswaldo Lopez Arellano,chairman of the military government council junta.,The ruling junta ousted Rodriguez. Arellano became chairman.,HN,NA,1957-07-01,1957-7
482,483,91.0,9110363,9110031963.0,Honduras,10,3,1963,,coup,Coup,Yes,0.0,Ramon Villeda Morales,president,Col. Osvaldo Lopez Arellano,Oswaldo Lopez Arellano,military dictator,Col. Arellano and the military overthrew Morales days before the presidential election to head off his predicted mandate and leftist social reforms. Arellano ruled alone as a military dictator.,HN,NA,1963-10-01,1963-10
483,484,91.0,9112472,9112041972.0,Honduras,12,4,1972,,coup,Coup,Yes,0.0,Ramon Ernesto Cruz Ucles,president,Gen. Osvaldo Lopez Arellano,Oswaldo Lopez Arellano,military dictator,Arellano ousted Ucles in a bloodless coup and ruled as a military dictator.,HN,NA,1972-12-01,1972-12
484,485,91.0,9142275,9104221975.0,Honduras,4,22,1975,,coup,Coup,Yes,0.0,Oswaldo Lopez Arellano,military dictator,Gen. Juan Alberto Melgar Castro,Juan Alberto Melgar Castro,military dictator,Arellano was deposed for his corruption scandal involving an American fruit company. Castro ruled alone as a military dictator.,HN,NA,1975-04-01,1975-4
485,486,91.0,91102177,9110211977.0,Honduras,10,21,1977,,attempted coup,0,No,1.0,Juan Alberto Melgar Castro,military dictator,junior officers (unspecified),.,.,Castro was nearly overthrown by dissident junior officers.,HN,NA,1977-10-01,1977-10
486,487,91.0,918778,9108071978.0,Honduras,8,7,1978,,coup,Coup,Yes,0.0,Juan Alberto Melgar Castro,military dictator,Gen. Policarpo Paz Garcia,Paz Garcia,military dictator,Right-wing elements in the military charged that his corruption and repression cost him control over the country and ousted Castro. Garcia became the military executive.,HN,NA,1978-08-01,1978-8
487,488,91.0,9173099,9107301999.0,Honduras,7,30,1999,,attempted coup,0,No,1.0,Carlos Roberto Flores,president,unspecified,.,.,Carlos Robertos Flores faced a coup attempt from unspecified forces.,HN,NA,1999-07-01,1999-7
488,489,310.0,310123146,31012311946.0,Hungary,12,31,1946,,conspiracy coup,0,No,1.0,Mátyás Rákosi,party secretary,Col-Gen. Lajos Dalnoki-Veress,.,.,Several military officers and right-wing civilians plotted an armed takeover of the government. The plot was exposed and some were arrested.,HU,EU,1946-12-01,1946-12
489,490,310.0,31053147,31005311947.0,Hungary,5,31,1947,,coup,0,Yes,0.0,Fernrec Nagy,prime minister,Communist Party,.,.,"Nagy used his powers to prevent a full communist domination of the government. Recognizing his role as an effective road block to their dominance, he was forced to resign with a threat to his family.",HU,EU,1947-05-01,1947-5
490,491,310.0,310123147,31012311947.0,Hungary,12,31,1947,,conspiracy coup,0,No,1.0,Mátyás Rákosi,party secretary,Army officers and members of the Smallholders' Party,.,.,The recently ousted opposition party and some members of the armed forces conspired to overthrow the communist party grip on the government.,HU,EU,1947-12-01,1947-12
491,492,310.0,31061649,31006161949.0,Hungary,6,16,1949,,conspiracy coup,0,No,1.0,Mátyás Rákosi,party secretary,"Laszlo Rajk, Tibor Szonyi, Andras Szalai",.,.,A number of former government officials were accused of plotting against the government.,HU,EU,1949-06-01,1949-6
492,493,310.0,31071556,31007151956.0,Hungary,7,15,1956,,coup,Coup,Yes,0.0,Mátyás Rákosi,party secretary,Communist Party,Erno Gero,party secretary,The Soviets forced the communist party to remove Rakosi to put Hungary back on the Soviet line. Gero was promoted to replace him.,HU,EU,1956-07-01,1956-7
493,494,310.0,310102356,31010231956.0,Hungary,10,23,1956,,coup,0,Yes,0.0,Erno Gero,party secretary,popular uprising,.,.,A popular uprising against the Gero and Soviet-backed regime began with the aim of overthrowing the government.,HU,EU,1956-10-01,1956-10
494,495,310.0,310102556,31010251956.0,Hungary,10,25,1956,,coup,Foreign,No,1.0,Erno Gero,party secretary,Soviet Union Envoy,Irme Nagy,party secretary,The Soviets removed Gero as party secretary after a harsh speech at the start of the uprising. Nagy replaced him as party secretary.,HU,EU,1956-10-01,1956-10
495,496,310.0,31041156,31004111956.0,Hungary,4,11,1956,,coup,Foreign,Yes,0.0,Irme Nagy,party secretary,Soviet Union armed forces,Janos Kadar,party secretary,"During the 1956 Uprising and subsequent Soviet invasion, Nagy was deposed as premier and later as party secretary. Kadar replaced him.",HU,EU,1956-04-01,1956-4
496,497,310.0,31052288,31005221988.0,Hungary,5,22,1988,,coup,Coup,Yes,0.0,Janos Kadar,party secretary,Communist Party,Karoly Grosz,party secretary,Party infighting and his health were main reasons why the communist party ousted Kadar and replaced him with Grosz as party secretary.,HU,EU,1988-05-01,1988-5
498,499,750.0,750123064,75012301964.0,India,12,30,1964,,conspiracy coup,0,No,1.0,lal Bahadur Shastri,prime minister,left communist party and chinese,.,.,Communists allied with China against conspired to overthrow the government leading to mass arrests.,IN,AS,1964-12-01,1964-12
499,500,750.0,750103068,75010301968.0,India,10,30,1968,,attempted coup,0,No,1.0,Indira Ghandhi,prime minister,Gen. Zeheto,.,.,A military general attempted to overthrow Indira Ghandi.,IN,AS,1968-10-01,1968-10
500,501,850.0,850122048,85012201948.0,Indonesia,12,20,1948,,coup,0,Yes,0.0,Sutan Sjahrir,prime minister,Dutch invasion forces,Sukarno,emergency provisional president,Dutch invasion forces overthrow the elected government. Sukarno took over as a dictator to combat the invasion.,ID,AS,1948-12-01,1948-12
501,502,850.0,850101752,85010171952.0,Indonesia,10,17,1952,,attempted coup,0,No,1.0,Sukarno,President,"Gen. Nasution, Gen. Simatupang",.,.,A rival military faction and a mob of civilians moved to overthrow Sukarno. Sukarno convinced them to leave without violence.,ID,AS,1952-10-01,1952-10
502,503,850.0,85010956,85010091956.0,Indonesia,10,9,1956,,conspiracy coup,0,No,1.0,Sukarno,President,unspecified,.,.,Sukarno faced a plot from unspecified individuals,ID,AS,1956-10-01,1956-10
503,504,850.0,850111656,85011161956.0,Indonesia,11,16,1956,,attempted coup,0,No,1.0,Sukarno,President,Col. Lubis,.,.,Col. Lubis attempted to overthrow Surkarno. The attempt failed.,ID,AS,1956-11-01,1956-11
504,505,850.0,85012.1956,85012001956.0,Indonesia,12,0,1956,,attempted coup,0,No,1.0,Sukarno,President,Col. Maludin Simbolon,.,.,Col. Simbolon attempted to overthrow Sukarno. The attempt failed.,ID,AS,1956-12-01,1956-12
505,506,850.0,8505.1957,85005001957.0,Indonesia,5,0,1957,,conspiracy coup,0,No,1.0,Sukarno,President,LTC Akil Prawiradiredja,.,.,21 army officers were arrested for plotting a coup.,ID,AS,1957-05-01,1957-5
506,507,850.0,85021558,85002151958.0,Indonesia,2,15,1958,,attempted coup,0,No,1.0,Sukarno,President,Several military officers and opposition/anti-communist party leaders,.,.,A number of army officers and opposition party leaders declared independence in certain islands with the aim of overthrowing the Sukarno and protecting Indonesia from communists. Their efforts were defeated in a military campaign.,ID,AS,1958-02-01,1958-2
507,508,850.0,8507559,85007051959.0,Indonesia,7,5,1959,,coup,auto-coup,Yes,0.0,Sukarno,President,Sukarno,Sukarno,dictator,Sukarno launched a self-coup which granted him dictatoral powers.,ID,AS,1959-07-01,1959-7
508,509,850.0,85010165,85010011965.0,Indonesia,10,1,1965,,attempted coup,0,No,1.0,Sukarno,President,"Lt.Col. Untung, 30th September Movement, nationalist generals",.,.,An organization called the 30th September Movement attempted to seize power. Their attempts failed but inspired a severe crack down on communists and contributed to the ultimate ouster of Sukarno.,ID,AS,1965-10-01,1965-10
509,510,850.0,85031266,85003121966.0,Indonesia,3,12,1966,,coup,Coup,Yes,0.0,Sukarno,President,Gen. Suharto,Suharto,dictator,General Suharto forced Sukarno step down from his executive post. Sukarno retained a ceremonial position but Suharto led the country then on as a dictator.,ID,AS,1966-03-01,1966-3
510,511,850.0,85052198,85005211998.0,Indonesia,5,21,1998,,coup,Revolt,Yes,0.0,Suharto,dictator,popular uprising and security forces,Habibie,acting president,"A financial crisis and mass protests brought his regime to the brink. When he moved to repress the movement his security agencies refused his orders. Suharto resigned and fled, leaving his vice president in charge.",ID,AS,1998-05-01,1998-5
511,512,850.0,85072301,85007232001.0,Indonesia,7,23,2001,,coup,0,Yes,0.0,Ab durrahaman Wahid,president,opposition members of the government with armed forces backing,Megawati Sukanoputri,president,Ethnic clevages and threats to dissolve the legislature fueled the opposition and armed forces to act and depose Wahid. Sukanoputri was voted as acting president.,ID,AS,2001-07-01,2001-7
512,513,630.0,6307446,63007041946.0,Iran,7,4,1946,,conspiracy coup,0,No,1.0,Ahmed Qavam,prime minister,"Ahmed Shepher, reactionary elements inside and outside of the government.",.,.,Shepher and elements labeled as reactionary plotted against the government. Several were arrested.,IR,AS,1946-07-01,1946-7
513,514,630.0,63081653,63008161953.0,Iran,8,16,1953,,attempted coup,0,No,1.0,Mohammad Mosaddegh,prime minister,"Col. Nasiri, Imperial Guard",.,.,Members of the imperial guard mutanied and tried to overthrow Mossaddeh. They were removed.,IR,AS,1953-08-01,1953-8
514,515,630.0,63081953,63008191953.0,Iran,8,19,1953,,coup,Coup,Yes,0.0,Mohammad Mosaddegh,prime minister,"Gen. Zahedi, Army, popular uprising, CIA",Mohammed Shah Pavlevi,royal ruler,The CIA and UK intelligence agencies manufactured a popular uprising and coordinated a military coup against Mossaddeh. The effective executive leadership was returned to the King Shah Pavlevi.,IR,AS,1953-08-01,1953-8
515,516,630.0,63011679,63001161979.0,Iran,1,16,1979,,coup,Revolt,Yes,0.0,Mohammed Shah Pavlevi,royal ruler,popular uprising,Shapour Bakhtiar,prime minister,"The Shah fled the country once his security forces proved impotent against the demonstrations, strikes, and riots against his rule. Bakhtar became the effective head of government in the interim.",IR,AS,1979-01-01,1979-1
516,517,630.0,63021179,63002111979.0,Iran,2,11,1979,,coup,Revolt,Yes,0.0,Shapour Bakhtiar,prime minister,popular uprising of islmaic oriented individuals,Ayatollah Khomeini,religious ruler,The military declared itself nuetral when those supporting the islamic revolution took to the street again to remove the remainder of the Shah's government. This step helped consolidate the Ayatollah's position as effective leader.,IR,AS,1979-02-01,1979-2
517,518,630.0,63011680,63001161980.0,Iran,1,16,1980,,attempted coup,0,No,1.0,Ayatollah Khomeini,religious ruler,unspecified army officers,.,.,Unspecified army officers attempted to remove the Islamic government.,IR,AS,1980-01-01,1980-1
518,519,630.0,6306.198,63006001980.0,Iran,6,0,1980,,attempted coup,0,No,1.0,Ayatollah Khomeini,religious ruler,unspecified,.,.,Unspecified individuals attempted to overthrow the Ayatollah,IR,AS,1980-06-01,1980-6
519,520,630.0,6307.198,63007001980.0,Iran,7,0,1980,,attempted coup,0,No,1.0,Ayatollah Khomeini,religious ruler,army officers and two civilians,.,.,A band of army officers and civilians were arrested for their attempt to overthrow the Islamic government.,IR,AS,1980-07-01,1980-7
520,521,630.0,63062281,63006221981.0,Iran,6,22,1981,,coup,auto-coup,Yes,0.0,Ayatollah Khomeini,religious ruler,Ayatollah Khomeini,Ayatollah Khomeini,religious ruler,Ayatollah Khomeini send troops and supporters to drive out his independently powerful president Bani Sadr from power. Ayatollah thus gained the powers reserved to the president for himself. Laterm he had his parliament legalize the self-coup.,IR,AS,1981-06-01,1981-6
521,522,630.0,6304.1982,63004001982.0,Iran,4,0,1982,,conspiracy coup,0,No,1.0,Ayatollah Khomeini,religious ruler,Former Minister Ghotbzadeh and several others including military officers,.,.,A former government minister was the leader behind a plot to overthrow the government. He was arrested.,IR,AS,1982-04-01,1982-4
522,523,630.0,63062782,63006271982.0,Iran,6,27,1982,,attempted coup,0,No,1.0,Ayatollah Khomeini,religious ruler,Col. Azar Dahkam,.,.,Azar Dahkam attempted to lead a coup against the Islamic government but failed.,IR,AS,1982-06-01,1982-6
